Article title - Question,Article subtitle - Complementary,Article body - Answer,Article language,Article URL,Category,Keywords
How do I cancel my registration?,,"<p>If you've signed up for a free tournament but wish to cancel your registration before it begins, you can easily do so by following these steps:</p>
<ol>
<li>Visit the relevant tournament page.</li>
<li>Click on the 'Options' button.</li>
<li>Select the 'Unenroll' option.</li>
</ol>
You're all set!",en,https://hubspot.communitygaming.io/help-center/how-do-i-cancel-my-registration,Tournament Support,"Community Gaming,Learn more,Sign up,tournament organizer,tourney,tourney edit"
What and how many tokens can I earn for completing XPeditions?,,"The amount and type of rewards you earn will depend on the XPedition. For now, we’re giving out USDC on the Polygon chain.",en,https://hubspot.communitygaming.io/help-center/what-and-how-many-tokens-can-i-earn-for-completing-xpeditions,XPeditions,"XP,crypto claim,crypto prize,questing,rewards,tokens,xpeditions"
Where do I report a bug?,This article provides two ways to report bugs to Community Gaming:,"<p>If you need assistance, we're here to help! Here are a couple of ways to get in touch:</p>
<ol>
<li>Live Chat Support: Simply click the support button located at the bottom right corner of the page. We aim to respond promptly.</li>
<li>Join Our Discord: For more immediate assistance or to connect with an admin,<a href=""https://discord.com/invite/community-gaming"" rel=""noopener""> join our Discord community</a>. You can also create a ticket in the #help-desk channel for support. We're here to assist you every step of the way!</li>
</ol>",en,https://hubspot.communitygaming.io/help-center/where-do-i-report-a-bug,Other,Very frequently asked
What is a MetaMask Wallet?,"This article explains MetaMask, a popular Ethereum wallet that lets you:

Store, send, and receive Ether (ETH) and ERC-20 tokens.
Access decentralized applications (DApps) built on the Ethereum blockchain.","<p>MetaMask is a widely-used Ethereum wallet that enables users to store, send, and receive ETH and ERC-20 tokens. Additionally, it serves as a portal to decentralized applications (DApps) on the Ethereum blockchain.<br><br>You can access MetaMask as a browser extension or a mobile app. To get started, download the MetaMask wallet extension for Chrome <a href=""https://chrome.google.com/webstore/detail/metamask/nkbihfbeogaeaoehlefnkodbefgpgknn"" rel=""noopener"">here</a>.<br><br>Once installed, you can link your MetaMask wallet to your Community Gaming account to participate in crypto tournaments and manage your assets seamlessly.</p>",en,https://hubspot.communitygaming.io/help-center/what-is-a-metamask-wallet,Wallet,"metamask,wallet"
How do I earn credit for following a link?,This article explains how to earn credit for visiting external links through Community Gaming Expeditions:,"To receive credit for visiting links, you’ll need to follow a hyperlink from the Community Gaming website. Xpeditions that want to send you to an external location will present you with a “<strong>Take Me There</strong>” button.<br><br>Click the ""<strong>Take Me There</strong>"" button to follow the link and earn credit. <strong>Entering the URL in the address bar will not give you credit.</strong>",en,https://hubspot.communitygaming.io/help-center/how-do-i-earn-credit-for-following-a-link,XPeditions,"XP,claim prize,claim reward,questing,xpeditions"
What if the cryptocurrency I won isn’t listed in my wallet?,"This article explains how to view Community Gaming tournament rewards in your wallet and addresses displaying them in external wallets (MetaMask, Sequence, Ronin) if it isn't automatically displayed.","<p>When you win unique tokens from Community Gaming tournament prize pools, your Community Gaming wallet will be automatically updated to reflect the newly acquired tokens. However, if you're using other wallets with our platform, such as Metamask, Sequence, or Ronin, they may require specific actions to display the newly won tokens.</p>
<p>If you're using Metamask and need guidance on adding newly won tokens to your wallet, check out this helpful video <a href=""https://youtu.be/y4cElG2zCdQ"" rel=""noopener"">tutorial here</a>. This will ensure your wallet accurately reflects your winnings.</p>",en,https://hubspot.communitygaming.io/help-center/what-if-the-cryptocurrency-i-won-isnt-listed-in-my-wallet,Wallet,"Ronin,Sequence,add blockchain,add external wallet,metamask,wallet"
What is a Ronin wallet?,"This article introduces Ronin, a fast and affordable wallet specifically designed for the Axie Infinity game.","Ronin is a sidechain wallet that is specifically designed for the Axie Infinity game. It is a fast and low-cost wallet that makes it easy to transfer and trade Axies and other Axie Infinity assets. Ronin is available as a standalone wallet and as a browser extension.<br><br>Download the wallet Chrome extension <a href=""https://chrome.google.com/webstore/detail/ronin-wallet/fnjhmkhhmkbjkkabndcnnogagogbneec"" rel=""noopener"">here</a>.",en,https://hubspot.communitygaming.io/help-center/what-is-a-ronin-wallet,Wallet,"Ronin,wallet"
How do I apply for a tournament grant?,"This article highlights the partnership of the Play2Learn foundation and Community Gaming, and how organizers can apply for a P2L prizepool grant.","<p>We highly encourage grassroots tournament organizers to consider applying for the Play2Learn Grant Program. This program, in partnership with the <a href=""https://play2learn.foundation/micro-grants/"" rel=""noopener"">Play2Learn Foundation</a>, offers a variety of benefits including prize pool funding, marketing support, prioritized platform assistance, and access to valuable tournament organizing resources.</p>
<p>Want to apply for the P2L Grant Program? Click <a href=""https://bit.ly/3HlZEAb"" rel=""noopener"">HERE </a>for more details!</p>",en,https://hubspot.communitygaming.io/help-center/how-do-i-apply-for-a-tournament-grant,Tournament Support,"claim prize,crypto prize,free tournaments,grant,prize,tournament organizer,tourney,tourney creation"
What sets the Community Gaming tournament platform a cut above the rest,This article highlights the advantages of using the Community Gaming platform for tournaments:,"<p><strong>Tournament Payouts: </strong></p>
<p>Tournaments hosted on our platform offer immediate prize pool payouts right after the tournament concludes. Behind the scenes, we utilize blockchain-based smart contracts to securely manage the prize pool in escrow, ensuring that winning players receive their rewards directly in their linked wallets.</p>
<p>&nbsp;</p>
<p><strong>Additional Earnings: </strong></p>
<p>In addition to tournament winnings, there are other ways to boost your earnings on Community Gaming. You can accomplish this by:</p>
<p style=""padding-left: 40px;""><strong>i) Completing Weekly Xpeditions</strong>.</p>
<p style=""padding-left: 40px;"">Complete daily/weekly/monthly objectives for token earnings through Xpeditions. Click <a href=""https://www.communitygaming.io/xpeditions"" rel=""noopener"">""XPeditions</a>"" to see what rewards are awaiting for you!</p>
<p style=""padding-left: 40px;""><strong>ii) Community Interaction:</strong></p>
<ul>
<li style=""list-style-type: none;"">We're a lively and social community! Don't miss out on the chance to meet new players and find teammates by joining <a href=""https://discord.com/invite/community-gaming"" rel=""noopener"">our Discord server</a>. It's a great way to connect and engage with fellow gaming enthusiasts.</li>
</ul>",en,https://hubspot.communitygaming.io/help-center/what-sets-cg-tournament-platform-a-cut-above-the-rest,Other,"Learn more,XP,claim prize,claim reward,crypto prize,prize,tourney,xpeditions"
"As a Tournament Organizer, can I earn an Organizer Fee?",,"As seasoned tournament organizers ourselves, we at Community Gaming know tournament organizers put in considerable effort into promoting, managing, and often streaming your events, and you should have the opportunity to earn a fee for your dedication. When you create your tournament, you can specify an Organizer fee for overseeing the event. This ranges from 0-5%.",en,https://hubspot.communitygaming.io/help-center/as-a-tournament-organizer-can-i-earn-an-organizer-fee,Tournament Support,"Tournament Creation,entry-fees,tournament organizer,tourney,tourney creation,tourney edit"
When will I receive tournament payouts?,This article clarifies how crypto winnings from Community Gaming tournaments are handled:,"<p>Prize pool winnings for crypto tournaments on Community Gaming are released immediately after the tournament is completed. However, please keep in mind that processing a blockchain transaction can sometimes take a few minutes.</p>
<p>To check if you've received your winnings, visit the ""My Wallets"" page shortly after the event ends.<br><br>If you were a winning player and didn't receive your winnings, don't hesitate to reach out to the tournament organizer and tournament admins for assistance in claiming your prize. They're here to help ensure you get your well-deserved winnings.</p>",en,https://hubspot.communitygaming.io/help-center/when-will-i-receive-tournament-payouts,Wallet,"claim prize,crypto claim,crypto prize"
Do I have to stream tournaments that I organize?,,"That's entirely up to you! Streaming tournaments you organize will bring more attention to them and is a great way to interact with your community, but it is not a requirement. We have also launched a #opportunities-and-networking forum in our <a href=""https://discord.com/invite/community-gaming"" rel=""noopener"">Discord </a>where you can post about any roles or jobs you're looking for!",en,https://hubspot.communitygaming.io/help-center/do-i-have-to-stream-tournaments-that-i-organize,Tournament Support,"Community Gaming,Learn more,Social Media,Socials,Tournament Creation,stream,tournament organizer,tourney,tourney creation,tourney edit"
How do I know if I’ve completed tournament registration?,,"<p>Verify registration by checking the Participants tab on the Tournament Page. If your username is listed there, you're all set!</p>
<p>If you have any need further assistance, reach out! We're here to make your Community Gaming experience the best it can be.</p>",en,https://hubspot.communitygaming.io/help-center/how-do-i-know-if-ive-completed-tournament-registration,Tournament Support,"Community Gaming,Learn more,Tournament Creation,bracket,tournament organizer,tourney,tourney creation,tourney edit"
Create Your Account,This articles provides a step-by-step guide on how to create a Community Gaming account.,"<p>Step 1: Click the 'Sign Up' button located at the top right corner of our homepage to begin the process.</p>
<p><img alt=""step 1"" class=""hs-image-align-none"" height=""217"" style=""height: auto; width: 688px;"" src=""https://41345067.fs1.hubspotusercontent-na1.net/hubfs/41345067/step%201.png"" width=""688"" loading=""lazy""></p>
<p>Step 2: Enter your email address.</p>
<p><img alt=""step 2"" class=""hs-image-align-none"" height=""290"" style=""height: auto; width: 325px;"" src=""https://41345067.fs1.hubspotusercontent-na1.net/hubfs/41345067/step%202.png"" width=""325"" loading=""lazy""></p>
<p>Step 3: Check your email inbox for a message from Community Gaming. Copy the authentication code provided and paste it into the authentication page on CommunityGaming.io, as shown <a href=""https://prnt.sc/0EbmoHLB6_iK"" target=""_blank"" rel=""noopener"">HERE</a>.&nbsp;</p>
<p><img alt=""step 3"" class=""hs-image-align-none"" height=""260"" style=""height: auto; width: 336px;"" src=""https://41345067.fs1.hubspotusercontent-na1.net/hubfs/41345067/step%203.png"" width=""336"" loading=""lazy""></p>
<p>And there you have it! Your Community Gaming account is ready for action. If you have any further questions or need assistance, please to reach out. We're here to help!</p>",en,https://hubspot.communitygaming.io/help-center/create-your-account,Account,"Sign up,account"
I've sent an invitation to my friends but they didn't receive it to join my team.,,"To check pending invites for your team, please visit the following link: <a href=""https://www.communitygaming.io/myTeams"" rel=""noopener"">Pending Invites.</a>",en,https://hubspot.communitygaming.io/help-center/ive-sent-an-invitation-to-my-friends-but-they-didnt-receive-it-to-join-my-team,Tournament Support,"Community Gaming,team"
"I've lost access to my email address, how can I login to my account?",,"We apologize for any inconvenience, but at this time, we are unable to change the email address associated with your account. If you need to use a different email address, we recommend creating a new account with the desired email address. Thank you for your understanding.",en,https://hubspot.communitygaming.io/help-center/ive-lost-access-to-my-email-address-how-can-i-login-to-my-account,Account,"Email login,Login,account"
"I don't remember which email address I've used to sign up, can you help me to remember it?",,"If you're having trouble remembering which email address you used to sign up, don't worry, we're here to help. Please reach out to our community support team, and they will assist you in finding your registered email address.",en,https://hubspot.communitygaming.io/help-center/i-dont-remember-which-email-address-ive-used-to-sign-up-can-you-help-me-to-remember-it,Account,"Email login,Login,Sign up,forgot email"
I'm having trouble receiving the email verification code in my mailbox.,This article helps you troubleshoot if you don't receive the verification code (magic link OTP) for Community Gaming sign-up or reward claiming:,"<p>Troubleshooting Missing Verification Code:</p>
<p>If you encounter issues with the magic link OTP (One-Time Password) verification during the sign-up process and haven't received the verification code via email, you can try the following troubleshooting steps:</p>
<ol>
<li>Check Your Email's Spam or Junk Folder: Sometimes, the email with the pin needed to claim rewards can end up in your spam or junk folder. Take a moment to check these folders to ensure the pin email hasn't been filtered there.</li>
<li>Obtaining a New Pin: If you didn't receive the pin email or are having trouble with it, please close the Magic code popup and try logging in or signing up again. Alternatively, you can refresh the login or sign-up page for another opportunity to receive the pin.</li>
<li>Incognito Browser Tab: Open an incognito or private browsing tab in your browser and try claiming your rewards from there. This can help bypass any cached data or conflicting extensions.</li>
<li>Try a Different Browser: Certain browser settings or extensions can sometimes interfere with the rewards claiming process. Please attempt to access the rewards page using a different browser.</li>
<li>Disconnect and Reconnect to the Network: Disconnect your device from the network, restart the network, and then reconnect your device to the network. This can help ensure a fresh network connection and resolve any network-related issues.</li>
<li>Use a Mobile Device: To rule out device-specific issues, try claiming your rewards using a mobile device instead of a PC. This can help narrow down the cause of the problem.</li>
<li>Mobile Data (Wi-Fi Disconnect): To further isolate the issue, disconnect from Wi-Fi on your mobile device and switch to using mobile data when claiming your rewards. This can help pinpoint the problem.</li>
</ol>
These solutions are designed to troubleshoot and resolve the issue of rewards being stuck on the spinning gear page. If the issue persists after trying these steps, please don't hesitate to contact our community support team for further assistance.",en,https://hubspot.communitygaming.io/help-center/missing-email-verification-code,Account,"Sign in code,Sign up,login code,magic link code,sign in error"
Do you have free tournaments to play?,In this article you can find out how to locate and participate in free-to-enter Community Gaming tournaments.,"<p>Yes! You can find free-to-enter tournaments on our website by selecting the 'free to enter' option on the Explore Tournaments page. Here's how:</p>
<ol>
<li><strong>Find a Tournament</strong>: Start on the Explore page, where you'll discover a list of the latest open tournaments. These are competitions that haven't begun yet and are open for enrollment. Click on a tournament to view its complete details.</li>
<li><strong>Enroll in the Tournament</strong>: To participate, simply click the 'Join Tournament' button, and an enrollment window will appear.
<ol>
<li><strong>For 1v1 Games</strong>: No need to create a team. Once the tournament begins, find the bracket in the 'Brackets' tab. From there, you can contact your opponent and start your match.</li>
<li><strong>For Team-Based Tournaments</strong>: If you're in a team-based tournament, <a href=""https://communitygaming.io/newTeam"" rel=""noopener"">create</a> or join a team and invite your teammates. After they accept your invitation, click the 'Join Tournament' button above to enroll your complete roster. Need more guidance? Here's an example of the team creation process.</li>
</ol>
</li>
</ol>
Connect with Our Community: Join <a href=""https://discord.gg/community-gaming"" target=""_blank"" rel=""noopener"">our Discord community</a>, where you can interact with tournament admins, meet fellow players, and even find teams to join if you don't have a full roster!",en,https://hubspot.communitygaming.io/help-center/do-you-have-free-tournaments-to-play,Tournament Support,"Learn more,account,claim prize,claim reward,free tournaments,prize,tourney"
"I want to delete my Community Gaming account, how can I delete it?",This article provides a step by step guide on how you may delete your Community Gaming profile. ,"<p>We're sorry to see you go! However, we hope to see you in the future again!</p>
<p>To delete your account, follow these steps:</p>
<ol>
<li>Click on ""My Profile.""</li>
<li>Select ""Edit Profile.""</li>
<li>Navigate to ""Account Security.""</li>
<li>Click on ""Delete My Account.""</li>
</ol>
Please note that once your account is deleted, you will not be able to log back in unless you sign up again. Please consider your decision carefully before proceeding with the deletion.",en,https://hubspot.communitygaming.io/help-center/i-want-to-delete-my-account-how-can-i-delete-it,Account,"Account deletion,account"
How can I obtain a gasless transaction to transfer my rewards from community gaming to my wallet?,Step-by-Step guide on how to obtain Gasless transactions during prize claiming,"<p>Enabling gasless transactions is easy! Just follow these steps:</p>
<p>Step 1: Click on 'View My Wallets' located in the top right corner of the Community Gaming website.</p>
<p>Step 2: Next, click on 'Claim Prize'.</p>
<p>Step 3: Now, click on 'Advanced Options'.</p>
<p>Step 4: Toggle the 'Gasless Transactions' switch to 'On'.</p>
<p>Step 5: Finally, click 'OK' to initiate your transaction. For a visual guide, you can refer to <a href=""https://imgur.com/D9y6awv"" rel=""noopener"">this image</a>.</p>
<p>By following all the steps above, you should be able to successfully obtain a gasless transaction! If you encounter any problems or have questions, please don't hesitate to contact our support team. We're here to help!</p>",en,https://hubspot.communitygaming.io/help-center/gasless-transactions-during-prize-claiming,Wallet,"claim prize,crypto claim,gasless"
How can I create or join a team and invite other people to my team ?,"This article explains how to create a team, and join a team tournament.","<p>Enroll in the Tournament:</p>
<p>To participate, simply click the 'Join Tournament' button, and an enrollment window will appear.</p>
<p><img alt=""join"" class=""hs-image-align-none"" height=""199"" style=""height: auto; width: 688px;"" src=""https://41345067.fs1.hubspotusercontent-na1.net/hubfs/41345067/join.png"" width=""688"" loading=""lazy""><img alt=""enrollment window"" class=""hs-image-align-none"" height=""162"" style=""height: auto; width: 302px;"" src=""https://41345067.fs1.hubspotusercontent-na1.net/hubfs/41345067/enrollment%20window.png"" width=""302"" loading=""lazy""></p>
<p>For Team-Based Tournaments:</p>
<p>If you're enrolling in a team-based tournament, join a team, or create and invite your teammates. After they accept your invitation, click the 'Join Tournament' button above to enroll your complete roster. If you need more guidance, here's an <a href=""https://imgur.com/3Xhzr3T"" rel=""noopener"">example</a>&nbsp;of the team creation process.</p>
<p><img alt=""create team"" class=""hs-image-align-none"" height=""221"" style=""height: auto; width: 301px;"" src=""https://41345067.fs1.hubspotusercontent-na1.net/hubfs/41345067/create%20team.png"" width=""301"" loading=""lazy""></p>
<p>Finding Teammates:</p>
<p>Join <a href=""https://discord.com/invite/community-gaming"" rel=""noopener"">our Discord community</a>, where you can interact with tournament admins, meet fellow players, and even find teams to join if you don't have a full roster!</p>
<p>&nbsp;</p>",en,https://hubspot.communitygaming.io/help-center/how-can-i-create-or-join-a-team-and-invite-other-people-to-my-team,Tournament Support,"Community Gaming,Learn more,team"
How do I find out more about the Play2Learn Grant Program and partnerships from Community Gaming?,This article explores collaboration opportunities with Community Gaming:,"<p>Thank you for your interest in working with Community Gaming! We love to work with Tournament Organizers, Guilds, and Game Developers.</p>
<p><strong><br>Play2Learn Grant Program </strong></p>
<p>We encourage all Tournament Organizers to apply for the Play2Learn Grant Program. Grantees are provided with prize pool funding, marketing support, platform support, and tournament organizing resources.</p>
<p>Interested in Learning more about the Play2Learn Grant Program and application process? You can read about the process <a href=""https://bit.ly/3HlZEAb"" rel=""noopener"">here</a>.</p>
<p><strong><br>Partnerships</strong></p>
<p>If you are interested in a partnership with Community Gaming, please email your proposal documents to partnerships@communitygaming.io.</p>
<p>&nbsp;</p>
<p>We're looking forward to chatting with you! If you have any additional question's don't hesitate to reach out to our support team or on <a href=""https://discord.com/invite/community-gaming"" rel=""noopener"">our discord</a>.</p>",en,https://hubspot.communitygaming.io/help-center/how-do-i-find-out-more-about-the-play2learn-grant-program-and-partnerships-from-community-gaming-how-do-i-get-a-sponsorship-from-cg,Sponsorship & Grant,"Community Gaming,claim prize,crypto prize,grant,partnership,prize,sponsor"
I played a tournament and won a prize but I didn't receive it in my wallet.,,"We recommend reaching out to the tournament organizer first to confirm whether the rewards have been distributed to the players. If you don't receive an update from the organizer, please contact our community support team for further assistance.",en,https://hubspot.communitygaming.io/help-center/i-played-a-tournament-and-won-a-prize-but-i-didnt-receive-it-in-my-wallet,Tournament Support,"Wallet error,claim prize,claim reward error,crypto prize,prize,tourney"
I've applied to become an organizer but I still didn't get any response.,,"Thank you for your interest in becoming an organizer. Due to the high volume of applications, our review process may take up to 2-4 business weeks. We appreciate your patience during this time.<br><br>If your application is approved, you will receive a confirmation email at the address you provided on your application. Thank you for your understanding.",en,https://hubspot.communitygaming.io/help-center/ive-applied-to-become-an-organizer-but-i-still-didnt-get-any-response,Organizer Support,"organizer application,tournament organizer"
How can I edit or change a bracket type for my tournament?,This article highlights how to edit a tournament bracket for an already created tournament on community gaming.,"<p>If you need to change the bracket type for your tournament, follow these steps:</p>
<ol>
<li>Go to the tournament page.</li>
<li>Click on 'Organizer Actions.'</li>
<li>Select 'Edit tournament.'</li>
<li>Navigate to the 'Brackets' section.</li>
<li>Choose 'Change Bracket type.'</li>
</ol>
Please note that changing the bracket type will result in the unregistering of all participants. Make sure to communicate this change to your participants in advance.",en,https://hubspot.communitygaming.io/help-center/how-can-i-edit-or-change-a-bracket-type-for-my-tournament,Tournament Support,"Tournament Creation,bracket,tournament organizer,tourney,tourney edit"
"I am getting an error and unable to login my account, How can I login to my account?",This article addresses troubleshooting login issues on Community Gaming where the page gets stuck on a loading icon:,"<p>If you encounter difficulty logging-in and it's stuck on the spinning gear page, you can try the following solutions:</p>
<ol>
<li><strong>Clearing Browser Data:</strong> Occasionally, built-up browser cookies and cache can lead to issues and conflicts with webpages which can hamper login. To resolve this, try clearing your browser's cache and cookies. We've provided steps on how to clear browser data for some browsers on this <a href=""https://docs.google.com/document/d/1x6XhcDPM-r6mqCLpThO6HVcOrWcGzBAfgwXfR7tTii0/edit?usp=sharing"">guide</a>.</li>
<li><strong>Try a Different Browser: </strong>Occasionally, certain browser settings or extensions can interfere with the login process. Please attempt to login using a different browser.</li>
<li><strong>Incognito Browser Tab:</strong> Open an incognito or private browsing tab in your browser and try logging in from the incognito tab. This can help bypass any cached data or conflicting extensions.</li>
<li><strong>Connect to Wi-Fi (PC):</strong> If you're using a PC, try connecting to a different Wi-Fi network. Network-related issues can sometimes affect logging-in.</li>
<li><strong>Use a Mobile Device:</strong> To rule out device-specific issues, try logging-in using a mobile device instead of a PC. This can help narrow down the cause of the problem.</li>
<li><strong>Mobile Data (Wi-Fi Disconnect): </strong>To further isolate the issue, disconnect from Wi-Fi on your mobile device and switch to using mobile data when logging in. This helps us pinpoint the problem and work toward a resolution.</li>
</ol>
Please try these solutions one by one, and if the issue persists, don't hesitate to let our community support team know so that we can further assist you.",en,https://hubspot.communitygaming.io/help-center/i-am-getting-an-error-and-unable-to-login-my-account-how-can-i-login-to-my-account,Account,"Login,login error,sign in error"
How can I link my social media accounts to my Community Gaming profile?,This article provides a step by step guide on how to link your social media accounts to your Community Gaming account. ,<strong>To link your social media accounts:</strong><br><br>1. Go to 'My Profile'&nbsp;<br>2. Click on 'Player Info'&nbsp;<br>3. Select 'Add Social Media Accounts.'<br>4. Link your social media accounts to your CG account.,en,https://hubspot.communitygaming.io/help-center/link-my-social-media-accounts,Account,"Link account,Social Media,Socials,account"
